IDCode,WSU LIFETIME GIVING,WSU YEARS OF GIVING,ASSETS,RECORD TYPE CODE,Number of relationships,Gender,Velocity35Score,Velocity57Score,AlumniCode,SportCode,GreekCode,ParticipationScore,AssetClass,ParticipationClass
4624,1595,18,472950,FP,2,M,50,80,0,0,0,0,Moderate,None
3460,8004,29,472500,AL,1,M,38,55,1,0,0,0,Moderate,None
5258,735,5,472016,AL,1,M,100,100,1,0,0,0,Moderate,None
5905,277,16,472000,AL,2,M,0,0,1,0,0,0,Moderate,None
3039,10890,36,472000,AL,3,M,61,59,1,0,0,0,Moderate,None
3382,9249.02,8,470483,AL,1,M,96,100,1,0,0,0,Moderate,None
4011,3355,32,470000,AL,1,M,56,88,1,0,0,0,Moderate,None
2138,63405,29,470000,AL,0,M,57,50,1,0,0,0,Moderate,None
5172,832.5,32,469774,AL,1,M,50,51,1,0,0,0,Moderate,None
7258,0,0,466500,FR,,F,0,0,0,0,0,0,Moderate,None
3329,10978.03,10,465000,AL,2,M,60,55,1,0,0,0,Moderate,None
1106,7245,27,465000,AL,0,M,57,79,1,0,0,0,Moderate,None
3322,11046,38,464500,AL,1,M,70,77,1,0,0,0,Moderate,None
3062,25300,2,464359,FP,3,M,0,0,0,0,0,0,Moderate,None
3143,22698,15,463500,AL,1,M,57,78,1,0,0,0,Moderate,None
3001,27665,19,463300,AL,2,M,100,100,1,0,0,0,Moderate,None
7240,0,0,463200,FR,1,M,0,0,0,0,0,0,Moderate,None
795,31000,8,462500,FR,2,M,0,33,0,0,0,0,Moderate,None
2883,43990,26,462425,AL,4,M,46,75,1,0,0,0,Moderate,None
188,8962.5,4,462000,AL,5,M,100,99,1,0,0,0,Moderate,None
2992,28303.15,29,462000,AL,2,M,50,70,1,0,0,0,Moderate,None
4671,1500,2,461500,FP,3,F,0,100,0,0,0,0,Moderate,None
803,3580,8,461000,FD,2,F,2,84,0,0,0,0,Moderate,None
4904,1118.5,17,460845,AL,1,F,91,100,1,0,0,0,Moderate,None
3796,4490.7,11,460766,AL,3,M,48,47,1,0,0,0,Moderate,None
4413,2019.13,2,460500,FR,0,M,0,0,0,0,0,0,Moderate,None
6533,42.5,2,460500,AL,1,M,0,0,1,0,0,0,Moderate,None
